San Leandro,37.724931,-122.156078,90712,C
San Luis Obispo,35.282753,-120.659617,47339,B
San Marcos,33.143372,-117.166144,92931,C
San Marino,34.121397,-118.106458,13464,C
San Mateo,37.562992,-122.325525,103536,C
San Pablo,37.962147,-122.345525,30407,C
San Rafael,37.973536,-122.531086,59162,C
San Ramon,37.779928,-121.978014,76134,C
Sand City,36.617183,-121.848286,381,C
Sanger,36.708006,-119.555964,24950,C
Santa Ana,33.745572,-117.867833,335400,B
Santa Barbara,34.420831,-119.698189,91842,B
Santa Clara,37.354108,-121.955236,126215,B
Santa Clarita,34.391664,-118.542586,182371,B
Santa Cruz,36.974117,-122.030797,64220,C
Santa Fe Springs,33.947236,-118.085344,18026,C
Santa Maria,34.953033,-120.435719,105093,B
Santa Monica,34.019453,-118.491192,93220,B
Santa Paula,34.354167,-119.059269,30546,C
Santa Rosa,38.440467,-122.714431,174972,B
Santee,32.838383,-116.973917,57787,C
Saratoga,37.263833,-122.023014,30968,C
Sausalito,37.859094,-122.48525,7156,C
Scotts Valley,37.051061,-122.014683,11945,C
Seal Beach,33.741406,-118.104786,24619,C
Seaside,33.819361,-118.366647,-1,C
Sebastopol,38.402136,-122.823881,7678,C
Selma,36.570783,-119.612075,24414,C
Shafter,35.500514,-119.271775,18336,C
Shasta Lake,40.680428,-122.370842,10159,C
Sierra Madre,34.161672,-118.052847,11163,C
Signal Hill,33.804461,-118.167847,11565,C
Simi Valley,34.269447,-118.781483,126788,B
Solana Beach,32.991156,-117.271147,13449,C
Soledad,32.991156,-117.271147,-1,C
Solvang,34.595819,-120.137647,5741,C
Sonoma,38.291858,-122.458036,11037,C
Sonora,37.984092,-120.382139,4818,B
South El Monte,34.051956,-118.046733,20878,C
South Gate,33.954736,-118.212017,96401,C
South Lake Tahoe,38.939925,-119.977186,21706,B
South San Francisco,37.654656,-122.40775,67271,C
St. Helena,38.505242,-122.470386,-1,C
Stanton,33.802517,-117.993117,38872,C
Stockton,37.957703,-121.290781,305658,B
Suisun City,38.238247,-122.040244,-1,C
Sunnyvale,37.368831,-122.03635,151754,B
Susanville,40.416283,-120.653006,15247,B
Sutter Creek,38.392967,-120.802436,2488,C
Taft,35.142467,-119.456508,9495,C
Tehachapi,35.132189,-118.448975,13021,B
Tehama,40.027103,-122.123322,416,C
Temecula,33.493639,-117.148364,112011,C
Temple City,34.107231,-118.057847,36365,C
Thousand Oaks,34.107231,-118.057847,10000,C
Tijuana B.C.,32.53,-117.02,1000000,B
Torrance,33.83585,-118.340628,148475,C
Tracy,37.73965,-121.425222,87075,C
Trinidad,41.059292,-124.143125,357,C
Tulare,36.207728,-119.347339,62315,C
Tulelake,41.955989,-121.477492,994,C
Turlock,37.494658,-120.846594,72292,C
Tustin,33.74585,-117.826167,80583,C
Twentynine Palms,34.135558,-116.054169,26025,B
Ukiah,39.150172,-123.207783,15917,B
Union City,37.593392,-122.043831,74494,C
Upland,34.097511,-117.648389,76443,C
Vacaville,38.356578,-121.987744,96803,C
Vallejo,38.104086,-122.256636,121253,B
Ventura,34.274639,-119.229006,96769,B
Vernon,34.003903,-118.230072,114,C
Victorville,34.536108,-117.291158,122225,C
Villa Park,33.814461,-117.813111,5964,C
Visalia,36.330228,-119.292058,130104,B
Vista,33.200036,-117.242536,100890,C
Walnut Creek,37.910078,-122.065183,68910,C
Walnut,34.020289,-117.865339,30237,C
Wasco,35.594125,-119.340947,26279,C
Waterford,37.641319,-120.760483,8824,C
Watsonville,36.910231,-121.756894,53628,C
Weed,41.42265,-122.386128,2556,C
West Covina,34.068622,-117.938953,108484,B
West Hollywood,34.090008,-118.361744,36222,C
West Sacramento,38.580461,-121.530233,52721,C
Westlake Village,34.145839,-118.805647,8507,C
Westminster,33.751342,-117.993992,92114,C
Westmorland,33.037267,-115.621383,2267,C
Wheatland,39.009894,-121.423014,3725,C
Whittier,33.979178,-118.032844,87438,C
Wildomar,33.598914,-117.280036,35632,C
Williams,39.154614,-122.149419,5196,C
Willits,39.409608,-123.355567,4861,C
Willows,39.524325,-122.193592,6069,C
Winters,38.524906,-121.970803,7034,C
Woodlake,36.413561,-119.098717,7654,C
Woodland,38.678517,-121.773297,58567,C
Yorba Linda,33.888625,-117.813111,67973,C
Yreka,41.735419,-122.634472,7597,B
Yuba City,39.140447,-121.616911,66941,B
Yucaipa,34.033625,-117.043086,53328,C
Abbotsford,49.05798,-122.25257,151683,B
Aberdeen,46.97537,-123.81572,16276,B
Airway Heights,47.64461,-117.59327,6639,C
Albany,44.63651,-123.10593,52175,C
Aldergrove,49.05801,-122.47087,12363,C
Alderwood Manor,47.82204,-122.28207,8442,C
Aloha,45.49428,-122.86705,49425,C
Altamont,42.20681,-121.73722,19257,C
Anacortes,48.5126,-122.61267,16403,C
Arlington,48.19871,-122.12514,18949,C
Artondale,47.29954,-122.62069,12653,C
Ashland,42.19458,-122.70948,20861,B
Astoria,46.18788,-123.83125,9626,C
Auburn,47.30732,-122.22845,77006,C
Bainbridge Island,47.62621,-122.52124,23840,C
Baker City,44.77487,-117.83438,9752,C
Bangor Trident Base,47.72274,-122.71446,6054,C
Barberton,45.69317,-122.59899,5661,C
Battle Ground,45.78095,-122.53343,19407,C
Beaverton,45.48706,-122.80371,96577,C
Bellevue,47.61038,-122.20068,139820,B
Bellingham,48.75955,-122.48822,85146,B
Bend,44.05817,-121.31531,87014,B
Bethany,45.55789,-122.8676,20646,C
Birch Bay,48.91789,-122.74462,8413,C
Blaine,48.99372,-122.74712,5056,C
Boise,43.6135,-116.20345,145987,A
Bonney Lake,47.17705,-122.18651,19903,C
